date,category,amount_usd,currency,description,month_label
2025-01-24,Dining Out,42.04,GBP,Dining Out expense,January 2025
2025-01-26,Subscriptions,27.45,INR,Subscriptions expense,January 2025
2025-01-27,Healthcare,12.89,USD,Healthcare expense,January 2025
2025-01-27,Subscriptions,32.15,CNY,Subscriptions expense,January 2025
2025-02-01,Rent,855.59,CNY,Rent expense,February 2025
2025-02-04,Groceries,98.72,CNY,Groceries expense,February 2025
2025-02-04,Rent,841.61,USD,Rent expense,February 2025
2025-02-07,Groceries,87.73,USD,Groceries expense,February 2025
2025-02-07,Savings,84.1,GBP,Savings expense,February 2025
2025-02-08,Savings,82.02,USD,Savings expense,February 2025
2025-02-09,Groceries,148.38,GBP,Groceries expense,February 2025
2025-02-13,Subscriptions,25.78,INR,Subscriptions expense,February 2025
2025-02-15,Rent,842.39,USD,Rent expense,February 2025
2025-02-15,Rent,941.75,GBP,Rent expense,February 2025
2025-02-15,Groceries,112.18,CNY,Groceries expense,February 2025
2025-02-16,Rent,960.46,USD,Rent expense,February 2025
2025-02-17,Remittance,189.97,INR,Remittance expense,February 2025
2025-02-19,Savings,63.16,CNY,Savings expense,February 2025
2025-02-20,Entertainment,50.62,USD,Entertainment expense,February 2025
2025-02-20,Transport,50.72,USD,Transport expense,February 2025
2025-02-23,Subscriptions,33.35,USD,Subscriptions expense,February 2025
2025-02-26,Rent,854.28,USD,Rent expense,February 2025
2025-02-26,Savings,119.03,CNY,Savings expense,February 2025
2025-02-27,Clothing,83.18,INR,Clothing expense,February 2025
2025-03-01,Groceries,105.07,USD,Groceries expense,March 2025
2025-03-02,Entertainment,51.12,USD,Entertainment expense,March 2025
2025-03-03,Remittance,174.71,GBP,Remittance expense,March 2025
2025-03-03,Savings,101.1,GBP,Savings expense,March 2025
2025-03-04,Groceries,95.47,INR,Groceries expense,March 2025
2025-03-04,Dining Out,65.86,USD,Dining Out expense,March 2025
2025-03-04,Entertainment,57.63,GBP,Entertainment expense,March 2025
2025-03-08,Remittance,199.14,USD,Remittance expense,March 2025
2025-03-10,Groceries,71.42,USD,Groceries expense,March 2025
2025-03-10,Transport,95.98,USD,Transport expense,March 2025
2025-03-17,Groceries,128.82,INR,Groceries expense,March 2025
2025-03-18,Remittance,208.69,USD,Remittance expense,March 2025
2025-03-18,Groceries,164.83,USD,Groceries expense,March 2025
2025-03-19,Healthcare,68.13,GBP,Healthcare expense,March 2025
2025-03-19,Entertainment,43.87,USD,Entertainment expense,March 2025
2025-03-20,Rent,939.48,CNY,Rent expense,March 2025
2025-03-20,Transport,75.83,USD,Transport expense,March 2025
2025-03-21,Dining Out,69.59,GBP,Dining Out expense,March 2025
2025-03-24,Healthcare,33.72,USD,Healthcare expense,March 2025
2025-03-28,Subscriptions,26.92,USD,Subscriptions expense,March 2025
